Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
Just-in-N-out Drive thru,Justin Jefferson,2,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,2,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,2,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,2,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,2,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,2,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,2,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,2,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,2,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,2,6,143.85,85,-58.85
Just-in-N-out Drive thru,Hunter Henry,2,26,146.38,52,-94.38
Just-in-N-out Drive thru,Rex Burkhead,2,49,125.89,57.2,-68.69
Just-in-N-out Drive thru,Jarvis Landry,2,81,144.95,52.8,-92.15
Just-in-N-out Drive thru,Taysom Hill,2,10,79.54,90.6,11.06
Just-in-N-out Drive thru,Geno Smith,2,7,148.82,182.76,33.94
Just-in-N-out Drive thru,Sterling Shepard,2,107,133.32,34.4,-98.92
Cougar Town Zach Wilson,Deebo Samuel,2,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,2,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,2,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,2,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,2,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,2,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,2,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,2,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,2,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,2,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,2,20,146.56,74,-72.56
Cougar Town Zach Wilson,DJ Chark,2,125,146.04,22.8,-123.24
Cougar Town Zach Wilson,Steelers D/ST,2,27,108.82,37,-71.82
Cougar Town Zach Wilson,Noah Fant,2,22,139.83,66.6,-73.23
Cougar Town Zach Wilson,Tyler Lockett,2,12,197.01,144,-53.01
Cougar Town Zach Wilson,Tyrion Davis-Price,2,119,31.94,3.7,-28.24
Cougar Town Zach Wilson,Matthew Stafford,2,25,285.7,108.38,-177.32
Couv Reigning Champ,Dalvin Cook,2,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,2,33,253.66,93.5,-160.16
Couv Reigning Champ,Javonte Williams,2,61,238.99,42,-196.99
Couv Reigning Champ,Michael Pittman Jr.,2,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,2,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,2,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,2,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,2,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,2,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,2,9,200.01,161.1,-38.91
Couv Reigning Champ,Alexander Mattison,2,56,109.64,51.3,-58.34
Couv Reigning Champ,Ravens D/ST,2,7,119.59,83,-36.59
Couv Reigning Champ,Nyheim Hines,2,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,2,9,130.34,91,-39.34
Couv Reigning Champ,Albert Okwuegbunam,2,73,122.54,12,-110.54
Couv Reigning Champ,Cade York,2,18,123.12,74,-49.12
Couv Reigning Champ,Greg Dortch,2,58,6.15,76.8,70.65
Gorilla Guys,Derrick Henry,2,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,2,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,2,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,2,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,2,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,2,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,2,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,2,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,2,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,2,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,2,13,123.09,153.5,30.41
Gorilla Guys,Saints D/ST,2,18,127.9,53,-74.9
Gorilla Guys,Matt Gay,2,23,147.81,64,-83.81
