,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership
347,Dessert Desperadoes,Rachaad White,8.874999999999998,7.599375,RB,16
348,Dessert Desperadoes,Jimmy Garoppolo,13.28,15.24,QB,1
349,Dessert Desperadoes,Graham Gano,7.0,6.906666666666667,K,15
350,Dessert Desperadoes,Marlon Mack,0.0,2.1999999999999997,RB,3
351,Dessert Desperadoes,Geno Smith,15.537142857142856,15.833571428571428,QB,14
352,Dessert Desperadoes,Bears D/ST,5.0,6.15,D/ST,1
353,Dessert Desperadoes,Younghoe Koo,4.9,7.017,K,10
354,Dessert Desperadoes,Nick Folk,10.5,3.545,K,2
355,Dessert Desperadoes,Kadarius Toney,1.6,7.37,WR,2
356,Dessert Desperadoes,Saints D/ST,4.0,3.75,D/ST,1
357,Dessert Desperadoes,James Cook,3.8,6.74,RB,1
358,Dessert Desperadoes,Michael Gallup,6.0,10.43,WR,2
359,Dessert Desperadoes,Chigoziem Okonkwo,5.8,6.826666666666667,TE,3
360,Sunday Funday,Cooper Kupp,8.823529411764707,7.405882352941177,WR,17
361,Sunday Funday,CeeDee Lamb,15.105882352941174,13.738823529411764,WR,17
362,Sunday Funday,Javonte Williams,2.176470588235294,3.595294117647059,RB,17
363,Sunday Funday,Kyle Pitts,3.9411764705882355,6.157647058823529,TE,17
364,Sunday Funday,Clyde Edwards-Helaire,5.141176470588237,5.438823529411765,RB,17
365,Sunday Funday,Tom Brady,12.868235294117648,14.934705882352938,QB,17
366,Sunday Funday,JuJu Smith-Schuster,11.652941176470588,11.075882352941177,WR,17
367,Sunday Funday,Hunter Renfrow,6.766666666666667,7.9511111111111115,WR,9
368,Sunday Funday,Patriots D/ST,11.529411764705882,6.025882352941176,D/ST,17
369,Sunday Funday,Matt Gay,6.333333333333333,6.108333333333333,K,12
370,Sunday Funday,Kenneth Walker III,12.164705882352942,9.418823529411766,RB,17
371,Sunday Funday,Russell Gage,11.33,8.742,WR,10
372,Sunday Funday,Mike Gesicki,3.6470588235294117,5.213529411764705,TE,17
373,Sunday Funday,Jerick McKinnon,10.858823529411765,8.598235294117648,RB,17
374,Sunday Funday,Joshua Palmer,11.952941176470587,9.564705882352941,WR,17
375,Sunday Funday,Carson Wentz,16.296,17.459999999999997,QB,5
376,Sunday Funday,Tyler Conklin,6.18,8.242,TE,5
377,Sunday Funday,Matt Ryan,9.92,15.75,QB,1
378,Sunday Funday,Ka'imi Fairbairn,6.545454545454546,6.893636363636364,K,11
379,Sunday Funday,Keaontay Ingram,0.56,3.55,RB,10
380,Sunday Funday,Raiders D/ST,6.666666666666667,5.316666666666666,D/ST,3
381,Sunday Funday,Colt McCoy,4.88,9.673333333333334,QB,3
382,JTT 4EVR,Jonathan Taylor,8.070588235294117,15.45058823529412,RB,17
383,JTT 4EVR,Tyreek Hill,22.323529411764707,20.185294117647057,WR,17
384,JTT 4EVR,Mike Evans,12.900000000000002,12.05294117647059,WR,17
385,JTT 4EVR,J.K. Dobbins,6.882352941176471,7.0211764705882365,RB,17
386,JTT 4EVR,Lamar Jackson,14.827058823529413,16.764705882352942,QB,17
387,JTT 4EVR,Dalton Schultz,4.658823529411764,5.944117647058823,TE,17
388,JTT 4EVR,Marquise Brown,11.38823529411765,9.553529411764703,WR,17
389,JTT 4EVR,Buccaneers D/ST,3.8461538461538463,5.15923076923077,D/ST,13
390,JTT 4EVR,Dameon Pierce,12.329411764705881,10.036470588235295,RB,17
391,JTT 4EVR,Tyler Boyd,11.574117647058824,7.282941176470588,WR,17
392,JTT 4EVR,Jarvis Landry,2.758823529411765,6.551176470588236,WR,17
393,JTT 4EVR,Tyler Bass,7.9411764705882355,7.748823529411766,K,17
394,JTT 4EVR,Jamaal Williams,14.141176470588235,9.043529411764707,RB,17
395,JTT 4EVR,Trevor Lawrence,15.535,16.7375,QB,4
396,JTT 4EVR,Tyler Higbee,9.241176470588234,10.51705882352941,TE,17
397,JTT 4EVR,Rondale Moore,7.494117647058824,5.960588235294118,WR,17
398,JTT 4EVR,Deon Jackson,8.791666666666664,4.053333333333334,RB,12
399,JTT 4EVR,Jets D/ST,3.142857142857143,5.851428571428571,D/ST,7
400,JTT 4EVR,Andy Dalton,7.06,15.54,QB,1
401,JTT 4EVR,Chris Boswell,6.333333333333333,5.343333333333334,K,3
402,JTT 4EVR,Tyler Huntley,5.02,16.35,QB,4
