,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership
252,Corduroy Patterson,Corey Davis,5.05,7.4975,WR,4
253,Corduroy Patterson,Robert Tonyan,1.9,7.6499999999999995,TE,2
254,Corduroy Patterson,Nick Folk,8.454545454545455,4.765454545454546,K,11
255,Corduroy Patterson,Parris Campbell,13.52,10.141000000000002,WR,10
256,Corduroy Patterson,Kenyan Drake,6.6,3.64,RB,1
257,Corduroy Patterson,Chiefs D/ST,8.0,6.77,D/ST,1
258,Deshaunorable Discharge,Bengals D/ST,3.0,7.58,D/ST,2
259,Deshaunorable Discharge,Joe Mixon,17.411764705882355,15.653529411764707,RB,17
260,Deshaunorable Discharge,Leonard Fournette,9.758823529411766,11.025882352941176,RB,17
261,Deshaunorable Discharge,A.J. Brown,14.829411764705881,14.181176470588237,WR,17
262,Deshaunorable Discharge,Jaylen Waddle,11.935294117647059,13.355882352941178,WR,17
263,Deshaunorable Discharge,Damien Harris,4.947058823529411,6.297058823529412,RB,17
264,Deshaunorable Discharge,Gabe Davis,7.370588235294116,10.84235294117647,WR,17
265,Deshaunorable Discharge,Joe Burrow,21.42235294117647,19.655882352941177,QB,17
266,Deshaunorable Discharge,Zach Ertz,9.981818181818182,8.82909090909091,TE,11
267,Deshaunorable Discharge,Elijah Moore,5.659999999999999,11.174,WR,5
268,Deshaunorable Discharge,James Robinson,6.655555555555555,8.768888888888888,RB,9
269,Deshaunorable Discharge,Daniel Carlson,10.125,8.285,K,16
270,Deshaunorable Discharge,J.D. McKissic,6.249999999999999,9.2875,RB,8
271,Deshaunorable Discharge,Dolphins D/ST,12.666666666666666,5.866666666666666,D/ST,3
272,Deshaunorable Discharge,Marvin Jones Jr.,3.9,10.51,WR,4
273,Deshaunorable Discharge,Irv Smith Jr.,0.0,9.02,TE,1
274,Deshaunorable Discharge,Tyler Allgeier,5.5,4.323333333333333,RB,3
275,Deshaunorable Discharge,Marquez Valdes-Scantling,8.575,9.677499999999998,WR,8
276,Deshaunorable Discharge,Melvin Gordon III,6.133333333333333,11.763333333333334,RB,3
277,Deshaunorable Discharge,Derek Carr,18.98,17.64,QB,1
