,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
161,P-Town CASH KEVIN,Brandon McManus,1,17,139.43,80.0,-59.43000000000001,K
162,P-Town CASH KEVIN,Derek Carr,1,15,260.61,174.9,-85.71000000000001,QB
163,I dont know what im doing,Leonard Fournette,2,14,258.74,154.7,-104.04000000000002,RB
164,I dont know what im doing,Davante Adams,2,4,253.59,230.8,-22.789999999999992,WR
165,I dont know what im doing,Mike Evans,2,20,223.32,139.2,-84.12,WR
166,I dont know what im doing,Breece Hall,2,26,210.66,115.1,-95.56,RB
167,I dont know what im doing,Brandin Cooks,2,46,215.1,102.7,-112.39999999999999,WR
168,I dont know what im doing,Dalton Schultz,2,18,176.66,80.0,-96.66,TE
169,I dont know what im doing,Devin Singletary,2,19,188.72,139.9,-48.81999999999999,RB
170,I dont know what im doing,Amari Cooper,2,8,198.97,176.2,-22.77000000000001,WR
171,I dont know what im doing,Russell Wilson,2,21,302.42,135.56,-166.86,QB
172,I dont know what im doing,Cordarrelle Patterson,2,32,167.88,102.1,-65.78,RB
173,I dont know what im doing,Zach Ertz,2,4,148.18,115.6,-32.58000000000001,TE
174,I dont know what im doing,Tyler Boyd,2,29,168.31,127.42,-40.89,WR
175,I dont know what im doing,Evan McPherson,2,11,148.47,90.0,-58.47,K
176,I dont know what im doing,Patriots D/ST,2,1,90.39,115.0,24.61,D/ST
177,I dont know what im doing,J.D. McKissic,2,55,144.62,55.8,-88.82000000000001,RB
178,I dont know what im doing,Jalen Tolbert,2,185,21.28,3.2,-18.080000000000002,WR
179,Just-in-N-out Drive thru,Justin Jefferson,2,2,287.8,244.86,-42.94,WR
180,Just-in-N-out Drive thru,Justin Herbert,2,9,328.04,193.96,-134.08,QB
181,Just-in-N-out Drive thru,Nick Chubb,2,5,216.04,208.1,-7.939999999999998,RB
182,Just-in-N-out Drive thru,George Kittle,2,7,169.59,103.0,-66.59,TE
183,Just-in-N-out Drive thru,Josh Jacobs,2,2,210.51,242.4,31.890000000000015,RB
184,Just-in-N-out Drive thru,DK Metcalf,2,18,212.43,146.1,-66.33000000000001,WR
185,Just-in-N-out Drive thru,Miles Sanders,2,13,184.65,159.0,-25.650000000000006,RB
186,Just-in-N-out Drive thru,Nick Folk,2,3,141.25,106.0,-35.25,K
187,Just-in-N-out Drive thru,Brandon Aiyuk,2,17,184.92,150.9,-34.01999999999998,WR
188,Just-in-N-out Drive thru,Bills D/ST,2,6,143.85,99.0,-44.849999999999994,D/ST
189,Just-in-N-out Drive thru,Hunter Henry,2,24,146.38,70.6,-75.78,TE
190,Just-in-N-out Drive thru,Rex Burkhead,2,52,125.89,58.7,-67.19,RB
191,Just-in-N-out Drive thru,Jarvis Landry,2,86,144.95,56.8,-88.14999999999999,WR
192,Just-in-N-out Drive thru,Taysom Hill,2,12,79.54,93.6,14.059999999999988,TE
193,Just-in-N-out Drive thru,Geno Smith,2,7,148.82,202.08,53.26000000000002,QB
194,Just-in-N-out Drive thru,Sterling Shepard,2,113,133.32,34.4,-98.91999999999999,WR
195,Cougar Town Zach Wilson,Deebo Samuel,2,22,261.46,137.3,-124.15999999999997,WR
196,Cougar Town Zach Wilson,Josh Allen,2,1,374.63,294.34,-80.29000000000002,QB
197,Cougar Town Zach Wilson,James Conner,2,24,240.04,119.7,-120.33999999999999,RB
198,Cougar Town Zach Wilson,David Montgomery,2,25,219.92,118.8,-101.11999999999999,RB
199,Cougar Town Zach Wilson,Elijah Mitchell,2,78,197.42,26.1,-171.32,RB
200,Cougar Town Zach Wilson,Gabe Davis,2,21,207.23,137.5,-69.72999999999999,WR
201,Cougar Town Zach Wilson,Justin Tucker,2,2,144.4,111.0,-33.400000000000006,K
202,Cougar Town Zach Wilson,Dallas Goedert,2,5,150.33,113.4,-36.93000000000001,TE
203,Cougar Town Zach Wilson,Damien Harris,2,45,174.55,76.8,-97.75000000000001,RB
204,Cougar Town Zach Wilson,Elijah Moore,2,88,198.34,53.6,-144.74,WR
205,Cougar Town Zach Wilson,Dawson Knox,2,19,146.56,77.7,-68.86,TE
206,Cougar Town Zach Wilson,DJ Chark,2,116,146.04,32.4,-113.63999999999999,WR
207,Cougar Town Zach Wilson,Steelers D/ST,2,24,108.82,49.0,-59.81999999999999,D/ST
208,Cougar Town Zach Wilson,Noah Fant,2,23,139.83,73.0,-66.83000000000001,TE
209,Cougar Town Zach Wilson,Tyler Lockett,2,13,197.01,159.8,-37.20999999999998,WR
210,Cougar Town Zach Wilson,Tyrion Davis-Price,2,129,31.94,3.7,-28.240000000000002,RB
211,Cougar Town Zach Wilson,Matthew Stafford,2,26,285.7,108.38,-177.32,QB
212,Couv Reigning Champ,Dalvin Cook,2,11,258.49,166.1,-92.39000000000001,RB
213,Couv Reigning Champ,D'Andre Swift,2,31,253.66,103.8,-149.86,RB
214,Couv Reigning Champ,Javonte Williams,2,63,238.99,42.0,-196.99,RB
215,Couv Reigning Champ,Michael Pittman Jr.,2,14,236.16,157.9,-78.25999999999999,WR
216,Couv Reigning Champ,Jaylen Waddle,2,6,218.23,188.0,-30.22999999999999,WR
217,Couv Reigning Champ,Kyler Murray,2,8,314.0,199.86,-114.13999999999999,QB
218,Couv Reigning Champ,Chris Godwin,2,27,198.2,131.0,-67.19999999999999,WR
219,Couv Reigning Champ,Rashod Bateman,2,89,197.96,53.5,-144.46,WR
220,Couv Reigning Champ,Melvin Gordon III,2,39,144.72,87.1,-57.620000000000005,RB
221,Couv Reigning Champ,Christian Kirk,2,10,200.01,169.2,-30.810000000000002,WR
222,Couv Reigning Champ,Alexander Mattison,2,56,109.64,52.4,-57.24,RB
223,Couv Reigning Champ,Ravens D/ST,2,7,119.59,88.0,-31.590000000000003,D/ST
224,Couv Reigning Champ,Nyheim Hines,2,53,144.64,57.6,-87.03999999999999,RB
225,Couv Reigning Champ,Tyler Higbee,2,14,130.34,91.0,-39.34,TE
226,Couv Reigning Champ,Albert Okwuegbunam,2,74,122.54,12.0,-110.54,TE
227,Couv Reigning Champ,Cade York,2,17,123.12,80.0,-43.120000000000005,K
228,Couv Reigning Champ,Greg Dortch,2,62,6.15,76.8,70.64999999999999,WR
229,Gorilla Guys,Derrick Henry,2,3,264.47,217.76,-46.710000000000036,RB
230,Gorilla Guys,Joe Mixon,2,9,258.91,180.9,-78.01000000000002,RB
231,Gorilla Guys,Keenan Allen,2,103,237.62,42.0,-195.62,WR
232,Gorilla Guys,Kyle Pitts,2,20,197.64,75.6,-122.03999999999999,TE
233,Gorilla Guys,Diontae Johnson,2,40,218.19,110.8,-107.39,WR
234,Gorilla Guys,Jalen Hurts,2,3,318.51,270.1,-48.40999999999997,QB
